date,open,high,low,close,volume
2018-10-03,57.513,58.368,57.445,58.018,114619200
2018-10-04,57.695,58.088,56.682,56.998,128168000
2018-10-05,56.99,57.103,55.145,56.072,134322000
2018-10-08,55.553,56.2,55.05,55.943,118655600
2018-10-09,55.91,56.818,55.562,56.717,107564000
2018-10-10,56.365,56.588,54.013,54.09,167962400
2018-10-11,53.63,54.875,53.08,53.612,212497600
2018-10-12,55.105,55.72,54.21,55.528,161351600
2018-10-15,55.29,55.458,54.318,54.34,123164000
2018-10-16,54.732,55.748,54.19,55.537,116736000
2018-10-17,55.575,55.66,54.835,55.298,91541600
2018-10-18,54.465,54.935,53.25,54.005,130325200
2018-10-19,54.515,55.315,54.357,54.827,132314800
2018-10-22,54.947,55.84,54.735,55.162,115168400
2018-10-23,53.958,55.812,53.675,55.682,155071200
2018-10-24,55.65,56.057,53.635,53.772,163702000
2018-10-25,54.428,55.345,54.188,54.95,119423200
2018-10-26,53.975,55.048,53.167,54.075,189033600
2018-10-29,54.798,54.923,51.522,53.06,183742000
2018-10-30,52.787,53.795,52.318,53.325,146640000
2018-10-31,54.22,55.112,54.155,54.715,153435600
2018-11-01,54.763,55.59,54.202,55.555,233292800
2018-11-02,52.388,53.412,51.357,51.87,365314800
2018-11-05,51.075,51.097,49.542,50.397,264654800
2018-11-06,50.48,51.18,50.423,50.943,127531600
2018-11-07,51.493,52.515,51.033,52.487,133697600
2018-11-08,52.495,52.53,51.688,52.123,101450400
2018-11-09,51.388,51.502,50.562,51.118,137463200
2018-11-12,49.75,49.963,48.447,48.542,204542000
2018-11-13,47.908,49.295,47.862,48.057,187531600
2018-11-14,48.475,48.62,46.482,46.7,243204000
2018-11-15,47.097,47.993,46.725,47.853,185915200
2018-11-16,47.625,48.743,47.365,48.382,147713200
2018-11-19,47.5,47.675,46.248,46.465,167701200
2018-11-20,44.592,45.368,43.877,44.245,271300800
2018-11-21,44.932,45.068,44.138,44.195,124496800
2018-11-23,43.735,44.15,43.025,43.072,94496000
2018-11-26,43.56,43.737,42.565,43.655,179994000
2018-11-27,42.877,43.693,42.72,43.56,165549600
2018-11-28,44.182,45.322,43.732,45.235,184250000
2018-11-29,45.665,45.7,44.425,44.888,167080000
2018-11-30,45.072,45.083,44.257,44.645,158126000
2018-12-03,46.115,46.235,45.303,46.205,163210000
2018-12-04,45.237,45.597,44.068,44.173,165377200
2018-12-06,42.94,43.695,42.605,43.68,172393600
2018-12-07,43.373,43.623,42.075,42.123,169126400
2018-12-10,41.25,42.522,40.833,42.4,248104000
2018-12-11,42.915,42.947,41.75,42.158,189126800
2018-12-12,42.6,42.98,42.255,42.275,142510800
2018-12-13,42.623,43.143,42.388,42.737,127594400
2018-12-14,42.25,42.27,41.32,41.37,162814800
2018-12-17,41.362,42.088,40.682,40.985,177151600
2018-12-18,41.345,41.882,41.097,41.518,135366000
2018-12-19,41.5,41.862,39.772,40.222,196189200
2018-12-20,40.1,40.528,38.825,39.208,259092000
2018-12-21,39.215,39.54,37.408,37.682,382978400
2018-12-24,37.037,37.888,36.647,36.708,148676800
2018-12-26,37.075,39.307,36.68,39.292,234330000
2018-12-27,38.96,39.193,37.518,39.037,212468400
2018-12-28,39.375,39.63,38.638,39.057,169165600
2018-12-31,39.632,39.84,39.12,39.435,140014000
2019-01-02,38.722,39.713,38.557,39.48,148158800
2019-01-03,35.995,36.43,35.5,35.548,365248800
2019-01-04,36.132,37.138,35.95,37.065,234428400
2019-01-07,37.175,37.208,36.475,36.982,219111200
2019-01-08,37.39,37.955,37.13,37.688,164101200
2019-01-09,37.822,38.632,37.408,38.327,180396400
2019-01-10,38.125,38.493,37.715,38.45,143122800
2019-01-11,38.22,38.425,37.877,38.072,108092800
2019-01-14,37.713,37.818,37.305,37.5,129756800
2019-01-15,37.568,38.347,37.513,38.268,114843600
2019-01-16,38.27,38.97,38.25,38.735,122278800
2019-01-17,38.55,39.415,38.315,38.965,119284800
2019-01-18,39.375,39.47,38.995,39.205,135004000
2019-01-22,39.103,39.182,38.155,38.325,121576000
2019-01-23,38.537,38.785,37.925,38.48,92522400
2019-01-24,38.528,38.62,37.935,38.175,101766000
2019-01-25,38.87,39.533,38.58,39.44,134142000
2019-01-28,38.947,39.083,38.415,39.075,104768400
2019-01-29,39.062,39.533,38.528,38.67,166348800
2019-01-30,40.812,41.537,40.057,41.312,244439200
2019-01-31,41.528,42.25,41.14,41.61,162958400
2019-02-01,41.74,42.245,41.482,41.63,130672400
2019-02-04,41.853,42.915,41.82,42.812,125982000
2019-02-05,43.215,43.77,43.088,43.545,144406400
2019-02-06,43.662,43.893,43.213,43.56,112958400
2019-02-07,43.1,43.485,42.585,42.735,126966800
2019-02-08,42.248,42.665,42.105,42.603,95280000
2019-02-11,42.763,42.803,42.312,42.357,83973600
2019-02-12,42.525,42.75,42.425,42.722,89134000
2019-02-13,42.847,43.12,42.48,42.545,89960800
2019-02-14,42.428,42.815,42.345,42.7,87342800
2019-02-15,42.812,42.925,42.438,42.605,98507200
2019-02-19,42.428,42.86,42.373,42.732,75891200
2019-02-20,42.798,43.33,42.748,43.007,104457600
2019-02-21,42.95,43.092,42.575,42.765,68998800
2019-02-22,42.895,43.25,42.845,43.243,75652800
2019-02-25,43.54,43.967,43.487,43.557,87493600
2019-02-26,43.428,43.825,43.292,43.583,68280800
2019-02-27,43.303,43.75,43.182,43.717,111341600
2019-02-28,43.58,43.728,43.23,43.287,112861600
2019-03-01,43.57,43.787,43.222,43.743,103544800
2019-03-04,43.923,44.438,43.493,43.963,109744800
2019-03-05,43.985,44.0,43.635,43.882,78949600
2019-03-06,43.667,43.873,43.485,43.63,83241600
2019-03-07,43.467,43.61,43.005,43.125,99185600
